Part Number,Part Name,Make/Buy,Planner,Buyer,CTLT,ABC Class,Ann Usage Pieces,Primary Supplier
28B0791X182,"PLUG,BAL,DIA B ~ 3 7/16PORT,1L7500,4TVL,HF,CMTR",Make,Planner 12,,34.54397524,D E&O,,
28B0863X012,"PLUG,BAL  ~  3 7/16PORT,1L5000,HFS&G DIA A",Make,Planner 12,,34.49246757,D E&O,,
28B0863X022,"PLUG,BAL ~ 3 7/16PORT,1L5000,HFS&G,DIA B",Make,Planner 12,,35.25953304,D E&O,,
28B0863X052,"PLUG,BAL,WIII ~ 3 7/16PORT,1L5000,HFS&G DIA A",Make,Planner 12,,35.16941876,D USE,,
28B0863X072,"PLUG,BAL,WIII ~ 3 7/16PORT,1L5000,HFS&G DIA A",Make,Planner 12,,35.76199582,D USE,,
28B0863X102,"PLUG,BAL ~ 3 7/16PORT,1L5000,HFS&G DIA B",Make,Planner 12,,46.98729009,D E&O,,
28B0863X112,"PLUG,BAL ~ 3 7/16PORT,1L5000,HFS&G DIA B",Make,Planner 12,,89.57421798,D E&O,,
28B0863X162,"PLUG,BAL ~ 3 7/16 PORT,1L5000,HFS&G DIA B",Make,Planner 12,,35.15441886,D USE,,
28B0863X522,"PLUG,BAL ~ 3 7/16 PORT,1L5000,HFS&G,DIA D",Make,Planner 12,,34.49578233,D USE,9,
28B0863X532,"PLUG,BAL ~ 3 7/16 PORT,1L5000,HFS&G,DIA E",Make,Planner 12,,34.49495968,D USE,1,
28B0863X672,"PLUG,BAL ~ 3 7/16 PORT,1L5000,HFS&G,DIA D",Make,Planner 12,,34.4916044,D E&O,2,
28B0863X972,"PLUG,BAL,WIII ~ 3 7/16PORT,1L5000,HFS&G DIA A",Make,Planner 12,,35.76199582,D NEW,1,
28B0863XA32,"PLUG,BAL ~ 3 7/16 PORT,1L5000,HFS&G,DIA A",Make,Planner 12,,89.57132411,D NEW,,
28B0870X022,"SEAT RING ~ 4X2X1,1 5/16PORT,WIDE BEVEL",Make,Planner 4,,42.94680317,C,5,
28B0870X062,"SEAT RING ~ 4X2X1,1 5/16PORT,WIDE BEVEL",Make,Planner 3,,26.23024919,D USE,,
28B0871X012,"PLUG,VALVE  ~  1 5/16 PORT,1L5000,HFS",Make,Planner 12,,47.39898003,D USE,1,
28B0871X082,"PLUG,VALVE ~ 1 5/16 PORT,1L5000,HFS",Make,Planner 12,,46.87616645,D E&O,,
28B0946X022,"RING, LANTERN ~ 3/8 STEM",Make,Planner 4,,37.79112543,D E&O,,
28B1218X012,"SEAL ASSY ~ 8 V260,USE W/CLAMPED DOME",Make,Planner 3,,89.15601264,D USE,,
28B1218X032,"SEAL ASSY  ~  8 V260,USE W/CLAMPED DOME",Make,Planner 3,,86.19257152,D E&O,,
28B1218X052,SEAL ASSY  ~  8 V260,Make,Planner 3,,89.83591467,D E&O,,
28B1218X062,SEAL ASSY  ~  8 V260,Make,Planner 3,,84.92167631,D E&O,,
28B1219F022,"SEAL ASSY ~ 10 V260,USE W/CLAMPED DOME",Make,Plan 3 NU,,134.1904629,D NEW,,
28B1219X012,"SEAL ASSY  ~  10 V260,USE W/CLAMPED DOME",Make,Planner 3,,84.91263271,D USE,,
28B1219X032,"SEAL ASSY  ~  10 V260,USE W/CLAMPED DOME",Make,Planner 3,,84.91263271,D USE,,
28B1219X072,"SEAL ASSY ~ 10 V260,USE W/CLAMPED DOME",Make,Planner 3,,73.91892083,D E&O,,
28B1220X012,"SEAL ASSY  ~  12 V260,USE W/CLAMPED DOME",Make,Planner 3,,88.68960091,D USE,16,
28B1220X032,"SEAL ASSY ~ 12 V260,USE W/CLAMPED DOME",Make,Planner 3,,85.96634031,D USE,0,
28B1220X062,SEAL ASSY  ~  12 V260,Make,Planner 10,,89.58796764,D E&O,,
28B1829X012,"SEAT RING ~ 1,3/16 PORT,1/32R SEAT",Make,Planner 4,,21.21776805,D USE,2,
28B1844X012,"PLUG,WHISPER III  ~  1 5/16PORT,1 3/4TVL,1L5000",Make,Planner 12,,44.3494288,D E&O,,
28B2123X013,"DIAPHRAGM ~ 2 TYPE EZR FMS17E97 LESS FINAL MOLD, STACK",Make,Planner 9,,136.6262314,D NEW,120,
28B2123X014,"DIAPHRAGM ~ 2 TYPE EZR FMS17E97 LESS FINAL MOLD, CALENDARED",Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",3,D NEW,,
28B2123X052,DIAPHRAGM  ~  2 TYPE EZR FMS17E97,Make,Planner 9,,147.0315069,,0,
28B2431X01A,"CAP,CYLINDER,CASTING ~ 1/2-6",Buy,Planner 10,"GOMEZ CANO, ARTURO",108,D USE,3,BLUEMOUNT CASTINGS PVT LTD
28B2432X01A,"CASING,LOWER,CASTING ~ SIZE 3B & 4B",Buy,Planner 10,"GOMEZ CANO, ARTURO",51,C,112,
28B2947X01A,"BEARING CSTG ~ 6,1 IN. SHAFT,VLINE(B SERIES)",Buy,Planner 10,"GOMEZ CANO, ARTURO",84,C,40,METALTEK INTERNATIONAL INC
