Part Number,Part Name,Make/Buy,Planner,Buyer,CTLT,ABC Class,Ann Usage Pieces,Primary Supplier
00644-7630-0121,"KIT, SPARES, 644 M5, SST COVER ASSY FOR 3-ENTRY J-BOX",Make,Planner 4,,,D E&O,,
007635-001-304,"SEAT RING, .2500/.2505 DIAMETER, 1/4"", 304L SST",Make,Planner 4,,29.11612673,D E&O,,
007635-001-416,"SEAT RING, .2500/.2505 DIAMETER, 1/4"" (416 SST)",Make,Planner 4,,44,C,119,
007635-002-416,"SEAT RING, .375/.376 DIAMETER, 3/8"", (416 SST)",Make,Planner 4,,42.7867663,D USE,1,
007635-005-416,"SEAT RING, 13/16"" BORE  (STD FOR SIZE 1/2 & 3/4), (416 SST)",Make,Planner 4,,42.29697572,D E&O,,
007635-005-416-X022,"SEAT RING, 13/16"" BORE  (STD FOR SIZE 1/2 & 3/4), (416 SST),CMTR",Make,Planner 4,,35.11319812,D NEW,,
007635-005-732,"SEAT RING, 13/16"" BORE  (STD FOR SIZE 1/2 & 3/4), (MONEL)",Make,Planner 4,,37.71076433,D E&O,,
007900060003,"KIT,CABLE  H3,4PIN PLUG,6 FOOT LONG WIRE EXTENSION",Make,,,,,,
00826-03,CVR CASTING ~ MG05 1/4T,Buy,Planner 7,"FERNANDEZ, JORGE",114,D USE,,OIL CITY IRON WORKS INC
00852-01,CVR CSTG ~ MG03 360 TOP,Buy,Planner 7,"FERNANDEZ, JORGE",78,D USE,,OIL CITY IRON WORKS INC
00864-01,CVR CSTG ~ MG05 360,Buy,Planner 7,"FERNANDEZ, JORGE",66,D USE,,STAR PIPE USA LLC
00870-0300-6129,"LITERATURE, WHITE PAPER, THREE INOVATIVE WAYS TO IMPROVE PUMP RELIABILITY, WIRELESS, 00870-0300-6129",Buy,,,253,,,
00879-03,CVR CSTG M ~ GB1/GB3,Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",35,D,,
00881,"Q,M HSG CSTG  ~ 1000",Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",65,,,
00881-1,MAIN HOUSING M CSTG ~ 1000,Buy,Planner 7,"FERNANDEZ, JORGE",78,D E&O,,JDH PACIFIC INC
00881-2,"Q,M HSG CSTG ~ 1000",Buy,Planner 7,"FERNANDEZ, JORGE",78,D E&O,,JDH PACIFIC INC
00894-3,M/HSG CSTG~3000,Buy,Planner 7,"FERNANDEZ, JORGE",98,D USE,,OIL CITY IRON WORKS INC
00917-03,MTG BASE CSTG - DUCTILE ~ R,Buy,Planner 7,"FERNANDEZ, JORGE",66,D USE,,OIL CITY IRON WORKS INC
00921-03,MAIN HSG CSTG ~ 2000,Buy,Planner 7,"FERNANDEZ, JORGE",78,D E&O,,JDH PACIFIC INC
00944-03,HOUSING CSTG ~ GB3,Buy,Planner 7,"FERNANDEZ, JORGE",78,D E&O,,OIL CITY IRON WORKS INC
00945-01,HSG COVER CSTG ~ GB3,Buy,Planner 7,"FERNANDEZ, JORGE",78,D E&O,,OIL CITY IRON WORKS INC
00950-03,N Q 1/4T CSTG ~ 5.50,Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",65,D,,OIL CITY IRON WORKS INC
00953-03,CVR CSTG ~ MG07 TOP,Buy,Planner 7,"FERNANDEZ, JORGE",78,D E&O,,OIL CITY IRON WORKS INC
00954-03,CVR CSTG ~ MG07 1/4T,Buy,Planner 7,"FERNANDEZ, JORGE",78,D USE,,OIL CITY IRON WORKS INC
00957-02-1,LEVER ARM CSTG ~ H/W,Buy,Planner 7,"FERNANDEZ, JORGE",42,D USE,,TEXAS METAL CASTING CO INC
00957-02-3,LEVER ARM CSTG  ~ H/W,Buy,Planner 7,"FERNANDEZ, JORGE",36,D E&O,,TEXAS METAL CASTING CO INC
00986-03-4,MAIN HSG CSTG ~ 4/5000,Buy,Planner 7,"FERNANDEZ, JORGE",98,D E&O,,OIL CITY IRON WORKS INC
00986-03-R,MAIN HOUSING CSTG ~ R,Buy,Planner 7,"FERNANDEZ, JORGE",98,D USE,,OIL CITY IRON WORKS INC
00995-03,THURST BASE CSTG ~ 4000,Buy,Planner 7,"FERNANDEZ, JORGE",78,D USE,,OIL CITY IRON WORKS INC
010010MG09W,"BAR,ROUND ~ 5/16 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D NEW,,
0100123557W,"BAR,ROUND ~ 3/16 IN",Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",30,C,390.63,SPECIALTY MATERIALS SA DE CV
0100163444W,"BAR,ROUND  ~  1/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,6.5,NATIONAL SPECIALTY ALLOYS INC
0100163557W,"BAR,ROUND ~ 1/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",20,C,58.75,SPECIALTY MATERIALS SA DE CV
0100164015W,"BAR,ROUND ~ 1/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
01002-03,THRUST BASE CSTG ~ 5000,Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",65,D,,OIL CITY IRON WORKS INC
0100203503W,"BAR,ROUND ~ 5/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,66.38,NATIONAL SPECIALTY ALLOYS INC
0100203557W,"BAR,ROUND ~ 5/16 IN",Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",30,C,541.5,SPECIALTY MATERIALS SA DE CV
0100240901W,"BAR,ROUND  ~  3/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,SPECIALTY MATERIALS SA DE CV
0100240904W,"BAR,ROUND  ~  3/8IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,SPECIALTY MATERIALS SA DE CV
0100241453W,"BAR,ROUND ~ 3/8 DIA",Buy,Planner 10,"GOMEZ CANO, ARTURO",18,D E&O,,
0100242409W,"BAR,ROUND ~ 3/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",42,D E&O,,
0100243503W,"BAR,ROUND ~ 3/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0100243513W,"BAR,ROUND ~ 3/8 IN",Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",11,D,,NATIONAL SPECIALTY ALLOYS INC
010024X001A,"BAR,ROUND ~ 3/8 OD X 3.00 LG",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",63,D E&O,,BEST STAINLESS AND ALLOYS LP
0100283503W,"BAR,ROUND ~ 7/16 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0100284009W,"BAR,ROUND ~ 7/16 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0100322409W,"BAR,ROUND ~ 1/2 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",18,C,60.13,SPECIALTY MATERIALS SA DE CV
0100323503W,"BAR,ROUND ~ 1/2 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,C,622.13,NATIONAL SPECIALTY ALLOYS INC
010032350DW,"BAR,ROUND ~ 1/2 DIA",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,2.8,BEST STAINLESS AND ALLOYS LP
0100323556W,"BAR,ROUND ~ 1/2 IN",Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",42,D E&O,,
0100323557W,"BAR,ROUND ~ 1/2 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,C,530.13,SPECIALTY MATERIALS SA DE CV
0100323563W,"BAR,ROUND  ~ 1 1/2 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",24,D NEW,,
0100324001W,"BAR,ROUND ~ 1/2 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",36,C,232.38,ALEACIONES ESPECIALES DE MEXICO S DE R L DE CV
0100324015W,ROUND ~ 1/2 IN,Buy,Planner 10,"GOMEZ CANO, ARTURO",30,D USE,8.5,NATIONAL SPECIALTY ALLOYS INC
010032X006W,"BAR,ROUND ~ 1/2 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,BEST STAINLESS AND ALLOYS LP
0100361401W,"BAR,ROUND ~ 9/16 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",42,D USE,54.25,SPECIALTY MATERIALS SA DE CV
0100361454W,"BAR,ROUND ~ 9/16 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",42,D E&O,,
0100362409W,"BAR,ROUND ~ 9/16 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",42,D USE,,
0100363513W,"BAR,ROUND ~ 9/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,C,52.63,NATIONAL SPECIALTY ALLOYS INC
0100363557W,"BAR,ROUND ~ 9/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,C,28.63,SPECIALTY MATERIALS SA DE CV
010040052NW,"BAR,ROUND ~ 5/8 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",126,D E&O,,
0100402409W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",18,C,913.13,SPECIALTY MATERIALS SA DE CV
0100402964W,"BAR,ROUND ~ 5/8 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",34,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0100403121W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",42,D E&O,,
0100403444W,"BAR,ROUND  ~  5/8 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",36,D USE,129.68,ALEACIONES ESPECIALES DE MEXICO S DE R L DE CV
0100403475W,"BAR,ROUND ~ 5/8 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0100403513W,ROUND ~ 5/8 IN,Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",11,D,,ACEROS FORTUNA S DE RL DE CV
0100403514W,"BAR,ROUND ~ 5/8IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0100403531W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 9,"MARTINEZ ACEVEDO, ELIHU",30,D,,NATIONAL SPECIALTY ALLOYS INC
0100403539W,"BAR,ROUND ~ 5/8",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,14.38,NATIONAL SPECIALTY ALLOYS INC
0100403557W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",20,C,66.88,SPECIALTY MATERIALS SA DE CV
0100403560W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",42,D USE,28,SPECIALTY MATERIALS SA DE CV
01004035EAW,"BAR,ROUND ~ 5/8 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",24,C,27.38,SPECIALTY MATERIALS SA DE CV
0100404052W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,C,180.63,SPECIALTY MATERIALS SA DE CV
0100404118W,"BAR,ROUND ~ 5/8 IN DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",18,C,18.25,SPECIALTY MATERIALS SA DE CV
010040X034W,"BAR,ROUND ~ 5/8 IN",Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",30,D E&O,,
0100442637W,"BAR,ROUND ~ 11/16 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",36,D E&O,,SPECIALTY MATERIALS SA DE CV
0100443513W,"BAR,ROUND ~ 11/16 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",12,C,3332.06,ACEROS INOXIDABLES Y SERVICIOS INDUSTRIALES
0100443557W,"BAR,ROUND ~ 11/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,C,26.13,NATIONAL SPECIALTY ALLOYS INC
010044356BW,"BAR,ROUND ~ 11/16 DIA",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0100480624W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",36,D E&O,0,FASTENAL MEXICO S DE RL DE CV
0100481453W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",27,D NEW,,
0100482409W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",18,A,35997.88,SPECIALTY MATERIALS SA DE CV
0100483503W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,C,145.5,SPECIALTY MATERIALS SA DE CV
0100483509W,"BAR,ROUND ~ 3/4",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0100483513W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",24,D USE,67.13,SPECIALTY MATERIALS SA DE CV
0100483514W,"BAR,ROUND ~ 3/4 DIA",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
010048352AW,"BAR,ROUND ~ 3/4 DIA",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0100483557W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,C,433.88,SPECIALTY MATERIALS SA DE CV
0100483558W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,C,104.75,SPECIALTY MATERIALS SA DE CV
0100483560W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,16.25,NATIONAL SPECIALTY ALLOYS INC
01004835HFW,"BAR,ROUND ~ 3/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D E&O,,
01004835HTW,"BAR, ROUND ~ 3/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D E&O,,
0100484009W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,D USE,12,NATIONAL SPECIALTY ALLOYS INC
0100484015W,"BAR,ROUND ~ 3/4 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D NEW,,
010048402RW,"BAR,ROUND  ~  3/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D E&O,,SPECIALTY MATERIALS SA DE CV
0100484118W,"BAR,ROUND ~ 3/4 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",18,D USE,5.22,SPECIALTY MATERIALS SA DE CV
010048X019W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D E&O,,SPECIALTY MATERIALS SA DE CV
010048X039W,"BAR,ROUND ~ 3/4 IN",Buy,Planner 4,,27,,,
0100493444W,"BAR,ROUND ~ 49/64 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",126,D E&O,,
0100523539W,"BAR,ROUND ~ 13/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,C,124.75,SPECIALTY MATERIALS SA DE CV
0100523557W,"BAR,ROUND ~ 13/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,D USE,,ACEROS DE ALTO RENDIMIENTO SA DE CV
0100523560W,"BAR,ROUND ~ 13/16 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,12,NATIONAL SPECIALTY ALLOYS INC
010052X010W,"BAR,ROUND ~ 13/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D E&O,0,
010052X017W,"BAR,ROUND ~ 13/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0100561223W,"BAR,ROUND ~ 7/8 DIA",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",48,C,2831.88,SPECIALTY MATERIALS SA DE CV
0100561405W,"BAR,ROUND ~ 7/8 DIA.",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",42,B,2020.88,SPECIALTY MATERIALS SA DE CV
0100562409W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,C,3883.13,SPECIALTY MATERIALS SA DE CV
0100563539W,"BAR,ROUND ~ 7/8 DIA",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,C,72,SPECIALTY MATERIALS SA DE CV
0100563557W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,C,3826.41,ACEROS DE ALTO RENDIMIENTO SA DE CV
0100563561W,"BAR,ROUND  ~  7/8 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",126,D E&O,,
0100563562W,"BAR,ROUND  ~  7/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
01005635H6W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,BEST STAINLESS AND ALLOYS LP
0100564003W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,54.5,NATIONAL SPECIALTY ALLOYS INC
0100564052W,"BAR,ROUND ~ 7/8 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,C,16.88,SPECIALTY MATERIALS SA DE CV
0100564118W,"BAR,ROUND ~ 7/8 DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D E&O,,
010056X018W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D E&O,,
010056X021W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",126,D E&O,,
010056X022W,"BAR,ROUND ~ 7/8 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0100603557W,"BAR,ROUND ~ 15/16",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",48,C,401,SPECIALTY MATERIALS SA DE CV
010060356BW,"BAR,ROUND ~ 15/16IN",Buy,Planner 3,"JACINTO ANDRACA, MARIA ELENA",12,C,473.75,SPECIALTY MATERIALS SA DE CV
010060356MW,"BAR,ROUND ~ 15/16",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,B,1134.75,ALEACIONES ESPECIALES DE MEXICO S DE R L DE CV
01006035ECW,"BAR,ROUND ~ 15/16",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",126,D E&O,,
01006035JJW,"BAR,ROUND ~ 15/16",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0100604052W,"BAR,ROUND ~ 15/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,15.95,SPECIALTY MATERIALS SA DE CV
010060X003W,"BAR,ROUND ~ 15/16",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,SPECIALTY MATERIALS SA DE CV
010060X006W,"BAR,ROUND ~ 15/16",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
010060X009W,"BAR,ROUND ~ 15/16 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
010060X012W,"BAR,ROUND ~ 15/16",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,SPECIALTY MATERIALS SA DE CV
0101000624W,"BAR,ROUND ~ 1 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",36,D E&O,,SABIC INNOVATIVE PLASTICS US LLC
0101000690W,"BAR,ROUND ~ 1 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",66,D E&O,,SABIC INNOVATIVE PLASTICS US LLC
0101000691W,"BAR,ROUND ~ 1 IN DIA",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",54,D E&O,,SABIC INNOVATIVE PLASTICS US LLC
0101000901W,"BAR,ROUND ~ 1 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,4,NATIONAL SPECIALTY ALLOYS INC
0101001223W,"BAR,ROUND ~ 1 DIA",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",48,B,6654,SPECIALTY MATERIALS SA DE CV
0101001405W,"BAR,ROUND ~ 1 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",48,C,1069.25,SPECIALTY MATERIALS SA DE CV
0101002409W,"BAR,ROUND ~ 1",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,C,110,SPECIALTY MATERIALS SA DE CV
010100242GW,"BAR,ROUND ~ 1 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",36,D USE,26.63,NATIONAL SPECIALTY ALLOYS INC
0101003121W,"BAR,ROUND  ~  1 IN",Buy,,,,,,
0101003444W,"BAR,ROUND ~ 1 IN",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",11,B,2475.25,
0101003513W,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",12,B,9002.56,ACEROS DE ALTO RENDIMIENTO SA DE CV
0101003514W,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,C,605.63,NATIONAL SPECIALTY ALLOYS INC
0101003557W,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",18,B,3847.13,SPECIALTY MATERIALS SA DE CV
0101003558W,"BAR,ROUND  ~  1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
0101003562W,"BAR,ROUND  ~  1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,NATIONAL SPECIALTY ALLOYS INC
0101003563W,"BAR,ROUND  ~  1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
010100356BW,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",18,C,399.01,SPECIALTY MATERIALS SA DE CV
010100356MW,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",12,D E&O,,
010100356QW,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",27,D E&O,,NATIONAL SPECIALTY ALLOYS INC
01010035BEW,"BAR,ROUND ~ 1 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
01010035GVW,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,3.25,NATIONAL SPECIALTY ALLOYS INC
01010035H4W,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D USE,3.25,NATIONAL SPECIALTY ALLOYS INC
01010035H6W,"BAR,ROUND ~ 1 INCH",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,D USE,12.75,NATIONAL SPECIALTY ALLOYS INC
0101003910W,"BAR,ROUND  ~  1 IN",Buy,Planner 7,"FERNANDEZ, JORGE",27,,,
0101003934W,"ROUND,BAR  ~  1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",38,D NEW,3,SPECIALTY MATERIALS SA DE CV
010100398QW,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",18,D E&O,,SPECIALTY MATERIALS SA DE CV
0101004001W,"BAR,ROUND ~ 1 DIA",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,C,57.63,SPECIALTY MATERIALS SA DE CV
0101004009W,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",26,C,45.63,SPECIALTY MATERIALS SA DE CV
0101004015W,"BAR,ROUND ~ 1 IN DIA",Buy,Planner 4,"GARCIA JIMENEZ, MARIA GUADALUPE",30,B,159,SPECIALTY MATERIALS SA DE CV
0101004019W,"BAR,ROUND  ~  1",Buy,Planner 10,"GOMEZ CANO, ARTURO",30,D USE,,NATIONAL SPECIALTY ALLOYS INC
010100405AW,"BAR,ROUND  ~  1 IN",Buy,Planner 10,"GOMEZ CANO, ARTURO",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
010100406AW,"BAR,ROUND  ~  1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",36,D USE,3.5,NATIONAL SPECIALTY ALLOYS INC
010100406HW,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,SPECIALTY MATERIALS SA DE CV
0101004118W,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",18,A,143.63,SPECIALTY MATERIALS SA DE CV
0101006F8HW,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,,NATIONAL SPECIALTY ALLOYS INC
010100M273W,"BAR,ROUND ~ 1 INCH",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",24,D E&O,0,NATIONAL SPECIALTY ALLOYS INC
010100M823W,"BAR,ROUND ~ 1 IN",Buy,Planner 12,"HERNANDEZ CEBALLOS, TERESA DE JESUS",30,D E&O,,SPECIALTY MATERIALS SA DE CV
