Item Number,Item_Description,Qty,UOM,Locator,Subinventory,Planner,Organization_Code
0101013444W,"BAR,ROUND ~ 1-1/64IN",71,Inch,B.03.02...,BR,Planner 10,TOL
0101043444W,"BAR,ROUND ~ 1-1/16 IN",51.875,Inch,B.06.05...,BR,Planner 10,TOL
0101080904W,"BAR,ROUND ~ 1 1/8 IN",11.75,Inch,B.15.02...,BR,Planner 10,TOL
0101081454W,"BAR,ROUND ~ 1 1/8 DIA",573.25,Inch,B.05.06...,BR,Planner 4,TOL
0101082409W,"BAR,ROUND ~ 1 1/8 IN",89,Inch,B.03.04...,BR,Planner 4,TOL
0101082449W,"BAR,ROUND ~ 1 1/8 IN",1370.5,Inch,B.13.01...,BR,Planner 4,TOL
0101083503W,"BAR,ROUND ~ 1 1/8 IN",57.25,Inch,B.07.04...,BR,Planner 4,TOL
0101083513W,"BAR,ROUND ~ 1 1/8 IN",132.75,Inch,B.07.05...,BR,Planner 12,TOL
0101083514W,"BAR,ROUND ~ 1 1/8",88,Inch,B.07.03...,BR,Planner 12,TOL
0101083539W,"BAR,ROUND ~ 1 1/8 DIA",52.25,Inch,B.05.03...,BR,Planner 10,TOL
0101083557W,"BAR,ROUND ~ 1-1/8 IN",16.5,Inch,B.06.02...,BR,Planner 12,TOL
0101083561W,"BAR,ROUND ~ 1 1/8 DIA",5.875,Inch,B.28.02...,BR,Planner 4,TOL
010108356BW,"BAR,ROUND  ~  1 1/8 IN",248.25,Inch,B.03.04...,BR,Planner 4,TOL
01010835GVW,"BAR,ROUND ~ 1 1/8 IN",12,Inch,B.24.02...,BR,Planner 4,TOL
0101084003W,"BAR,ROUND ~ 1 1/8",50.875,Inch,B.28.02...,BR,Planner 4,TOL
0101084009W,"BAR,ROUND ~ 1 1/8 IN",5.5,Inch,B.28.02...,BR,Planner 12,TOL
0101084042W,"BAR,ROUND ~ 1 1/8 IN",10.375,Inch,B.28.02...,BR,Planner 4,TOL
0101084052W,"BAR,ROUND ~ 1 1/8 IN",56,Inch,B.28.02...,BR,Planner 12,TOL
0101084075W,"BAR,ROUND  ~  1 1/8 RD",2.375,Inch,B.28.02...,BR,Planner 4,TOL
0101084118W,"BAR,ROUND ~ 1 1/8 IN",4.75,Inch,B.28.03...,BR,Planner 12,TOL
010108M273W,"BAR,ROUND ~ 1 1/8 IN",8.125,Inch,B.28.03...,BR,Planner 4,TOL
010108X021W,"BAR,ROUND ~ 1 1/8 IN",12,Inch,B.28.03...,BR,Planner 4,TOL
0101122409W,"BAR,ROUND ~ 1 3/16 IN",557.5,Inch,B.13.04...,BR,Planner 10,TOL
0101123444W,"BAR,ROUND ~ 1 3/16",97,Inch,B.15.03...,BR,Planner 10,TOL
0101123557W,"BAR,ROUND ~ 1 3/16",197.375,Inch,B.08.04...,BR,Planner 12,TOL
0101123561W,"BAR,ROUND ~ 1 3/16",8.25,Inch,B.14.05...,BR,Planner 12,TOL
010112356MW,"BAR,ROUND ~ 1 3/16",36.625,Inch,B.08.05...,BR,Planner 12,TOL
0101124015W,"BAR,ROUND ~ 1 3/16",7.5,Inch,B.15.02...,BR,Planner 12,TOL
0101162409W,"BAR,ROUND ~ 1 1/4 IN",171,Inch,B.02.02...,BR,Planner 10,TOL
0101163503W,"BAR,ROUND ~ 1 1/4 IN",10.375,Inch,B.14.04...,BR,Planner 4,TOL
0101163509W,"BAR,ROUND ~ 1 1/4",8.625,Inch,B.14.04...,BR,Planner 4,TOL
0101163513W,"BAR,ROUND ~ 1 1/4 IN",1039.875,Inch,B.05.04...,BR,Planner 12,TOL
0101163557W,"BAR,ROUND ~ 1 1/4 IN",20.875,Inch,B.24.02...,BR,Planner 4,TOL
0101163560W,"BAR,ROUND ~ 1-1/4 IN",117.625,Inch,B.08.05...,BR,Planner 12,TOL
01011635BEW,"BAR,ROUND ~ 1 1/4 IN",48,Inch,B.08.03...,BR,Planner 12,TOL
01011635F2W,"BAR,ROUND ~ 1 1/4 IN",4.25,Inch,B.28.03...,BR,Planner 4,TOL
01011635GVW,"BAR,ROUND ~ 1 1/4 IN",9.375,Inch,B.15.03...,BR,Planner 12,TOL
01011635H6W,"BAR,ROUND ~ 1 1/4 INCH",4.125,Inch,B.28.03...,BR,Planner 4,TOL
0101164118W,"BAR,ROUND ~ 1 1/4 DIA",6,Inch,B.28.02...,BR,Planner 12,TOL
0101173401W,"BAR,ROUND ~ 1-17/64 IN",5.875,Inch,B.14.03...,BR,Planner 10,TOL
0101173444W,"BAR,ROUND ~ 1-17/64 IN",157.75,Inch,B.08.03...,BR,Planner 10,TOL
0101203514W,"BAR,ROUND ~ 1 5/16",9.25,Inch,B.23.02...,BR,Planner 12,TOL
0101241223W,"BAR,ROUND ~ 1 3/8 DIA",209.25,Inch,B.07.03...,BR,Planner 4,TOL
0101243122W,"BAR,ROUND ~ 1 3/8 DIA",12,Inch,B.28.03...,BR,Planner 4,TOL
0101243539W,"BAR,ROUND ~ 1 3/8 DIA",405.245,Inch,B.07.05...,BR,Planner 12,TOL
0101243557W,"BAR,ROUND ~ 1-3/8 IN",9.25,Inch,B.08.05...,BR,Planner 12,TOL
0101243562W,"BAR,ROUND ~ 1 3/8 DIA",7.5,Inch,B.28.03...,BR,Planner 4,TOL
010124356BW,"BAR,ROUND ~ 1 3/8",111.5,Inch,B.25.02...,BR,Planner 12,TOL
0101244003W,"BAR,ROUND ~ 1 3/8 IN",14.125,Inch,B.28.02...,BR,Planner 4,TOL
0101283539W,"BAR,ROUND ~ 1 7/16 DIA",5.5,Inch,B.25.02...,BR,Planner 4,TOL
0101284015W,"BAR,ROUND ~ 1-7/16 IN",2,Inch,B.28.02...,BR,Planner 4,TOL
0101321401W,"BAR,ROUND  ~  1 1/2 IN",6.5,Inch,B.25.02...,BR,Planner 4,TOL
0101322409W,"BAR,ROUND ~ 1 1/2 IN",1065.5,Inch,B.05.02...,BR,Planner 10,TOL
0101322449W,"BAR,ROUND ~ 1 1/2",12,Inch,B.14.03...,BR,Planner 4,TOL
0101323513W,"BAR,ROUND ~ 1 1/2 IN",786.365,Inch,B.05.05...,BR,Planner 12,TOL
0101323514W,"BAR,ROUND ~ 1 1/2",144,Inch,B.05.04...,BR,Planner 12,TOL
0101323515W,"BAR,ROUND ~ 1 1/2 IN",37.75,Inch,B.23.02...,BR,Planner 12,TOL
0101323539W,"BAR,ROUND ~ 1 1/2",11.375,Inch,B.05.03...,BR,Planner 4,TOL
0101323557W,"BAR,ROUND ~ 1 1/2 IN",152.75,Inch,B.07.03...,BR,Planner 12,TOL
0101323558W,"BAR,ROUND ~ 1-1/2 IN",2.375,Inch,B.28.03...,BR,Planner 12,TOL
010132356BW,"BAR,ROUND ~ 1 1/2 IN",59.625,Inch,B.13.01...,BR,Planner 3,TOL
010132356MW,"BAR,ROUND ~ 1 1/2 INCH",36.125,Inch,B.28.02...,BR,Planner 12,TOL
0101324021W,"BAR,ROUND ~ 1 1/2 IN",7.5,Inch,B.23.02...,BR,Planner 4,TOL
0101324042W,"BAR,ROUND ~ 1 1/2 IN",9.5,Inch,B.28.02...,BR,Planner 4,TOL
0101324052W,"BAR,ROUND  ~ 1 1/2 INCH",86.25,Inch,B.28.02...,BR,Planner 12,TOL
0101324075W,"BAR,ROUND ~ 1 1/2 IN",5,Inch,B.28.03...,BR,Planner 4,TOL
0101363557W,"BAR,ROUND ~ 1 9/16 IN",45.375,Inch,B.14.04...,BR,Planner 12,TOL
0101363560W,"BAR,ROUND ~ 1 9/16 DIA",22.5,Inch,B.15.02...,BR,Planner 12,TOL
0101403513W,"BAR,ROUND ~ 1 5/8 IN",72,Inch,B.03.02...,BR,Planner 12,TOL
0101403514W,"BAR,ROUND ~ 1 5/8 IN",12,Inch,B.23.03...,BR,Planner 12,TOL
0101403539W,"BAR,ROUND ~ 1 5/8 IN",141.625,Inch,B.07.07...,BR,Planner 10,TOL
0101403557W,"BAR,ROUND ~ 1 5/8 IN",44.125,Inch,B.07.04...,BR,Planner 12,TOL
0101403562W,"BAR, ROUND ~ 1 5/8",3.625,Inch,B.28.03...,BR,Planner 12,TOL
010140356BW,"BAR,ROUND ~ 1 5/8",46.875,Inch,B.06.05...,BR,Planner 12,TOL
0101404009W,"BAR,ROUND ~ 1 5/8",9.75,Inch,B.28.02...,BR,Planner 4,TOL
010140405CW,"BAR,ROUND ~ 1 5/8 IN",16.125,Inch,B.23.03...,BR,Planner 10,TOL
0101406F8HW,"BAR,ROUND ~ 1 5/8 IN",12.125,Inch,B.14.04...,BR,Planner 4,TOL
010140X007W,"BAR,ROUND ~ 1 5/8 IN",8.625,Inch,B.15.03...,BR,Planner 10,TOL
0101443557W,"BAR,ROUND ~ 1 11/16",17.375,Inch,B.14.03...,BR,Planner 12,TOL
0101481223W,"BAR,ROUND ~ 1 3/4 DIA",7.5,Inch,B.07.04...,BR,Planner 4,TOL
0101481454W,"BAR,ROUND ~ 1 3/4 DIA",135.25,Inch,B.03.02...,BR,Planner 4,TOL
0101482409W,"BAR,ROUND ~ 1 3/4 IN",72.875,Inch,B.06.04...,BR,Planner 10,TOL
0101483513W,"BAR,ROUND ~ 1 3/4 IN",219.25,Inch,B.07.04...,BR,Planner 12,TOL
0101483539W,"BAR,ROUND ~ 1 3/4 DIA",134.125,Inch,B.08.06...,BR,Planner 12,TOL
0101483557W,"BAR,ROUND ~ 1-3/4 IN",124.875,Inch,B.06.04...,BR,Planner 12,TOL
01014835AUW,"BAR,ROUND ~ 1 3/4 IN",115.625,Inch,B.07.07...,BR,Planner 10,TOL
01014835F2W,"BAR,ROUND ~ 1 3/4 IN",13.625,Inch,B.28.03...,BR,Planner 4,TOL
0101483934W,"BAR,ROUND ~ 1 3/4 IN",2,Inch,B.15.02...,BR,Planner 12,TOL
0101484015W,"BAR,ROUND ~ 1 3/4",79.375,Inch,B.23.03...,BR,Planner 12,TOL
010148M265W,"BAR,ROUND ~ 1 3/4 IN",12,Inch,B.23.03...,BR,Planner 10,TOL
0101562409W,"BAR,ROUND ~ 1 7/8 IN",9.875,Inch,B.28.02...,BR,Planner 4,TOL
010156242GW,"BAR ROUND, 1 7/8 IN",134.375,Inch,B.03.03...,BR,Planner 4,TOL
0101563513W,"BAR,ROUND ~ 1 7/8 IN",28.375,Inch,B.13.01...,BR,Planner 4,TOL
0101563539W,"BAR,ROUND ~ 1 7/8",189.375,Inch,B.03.03...,BR,Planner 4,TOL
0101563557W,"BAR,ROUND ~ 1 7/8",196.25,Inch,B.02.04...,BR,Planner 12,TOL
010156356BW,"BAR,ROUND ~ 1 7/8 IN",98.5,Inch,B.08.06...,BR,Planner 10,TOL
010156356MW,"BAR,ROUND ~ 1 7/8 IN",30.625,Inch,B.28.02...,BR,Planner 12,TOL
010156M273W,"BAR,ROUND ~ 1 7/8",7.5,Inch,B.14.05...,BR,Planner 12,TOL
010156X033W,"BAR,ROUND ~ 1 7/8 IN",5.75,Inch,B.15.03...,BR,Planner 12,TOL
0102001223W,BAR ROUND ~ 2.000 IN,5.5,Inch,B.05.06...,BR,Planner 10,TOL
0102001454W,"BAR,ROUND ~ 2 IN",112.5,Inch,B.05.06...,BR,Planner 10,TOL
0102002409W,"BAR,ROUND ~ 2 IN",42.75,Inch,B.07.06...,BR,Planner 10,TOL
0102002637W,"BAR,ROUND ~ 2 IN",621.625,Inch,B.06.06...,BR,Planner 10,TOL
0102003509W,"BAR,ROUND ~ 2 IN DIA",4.375,Inch,B.28.04...,BR,Planner 12,TOL
0102003513W,"BAR,ROUND ~ 2 IN",110.875,Inch,B.01.03...,BR,Planner 12,TOL
0102003539W,"BAR,ROUND ~ 2 IN DIA",237.125,Inch,B.13.02...,BR,Planner 4,TOL
0102003557W,"BAR,ROUND ~ 2 IN",84.75,Inch,B.07.06...,BR,Planner 12,TOL
0102003561W,"BAR,ROUND ~ 2 IN",3,Inch,B.28.02...,BR,Planner 12,TOL
010200356BW,"BAR,ROUND ~ 2",109.25,Inch,B.03.04...,BR,Planner 12,TOL
010200356QW,"BAR,ROUND ~ 2 IN",3.875,Inch,B.28.03...,BR,Planner 12,TOL
01020035GVW,"BAR,ROUND ~ 2 IN",16.875,Inch,B.14.05...,BR,Planner 12,TOL
01020035K4W,"BAR,ROUND ~ 2 IN",2.875,Inch,B.14.04...,BR,Planner 4,TOL
0102003934W,"BAR,ROUND ~ 2 IN",13.25,Inch,B.14.04...,BR,Planner 4,TOL
010200398QW,"BAR,ROUND ~ 2 INCH",3,Inch,B.25.02...,BR,Planner 10,TOL
0102004001W,BAR;ROUND ~ 2 IN,17.375,Inch,B.28.02...,BR,Planner 4,TOL
0102004015W,"BAR,ROUND ~ 2 IN",5.125,Inch,B.28.02...,BR,Planner 4,TOL
0102004052W,"BAR,ROUND ~ 2 IN",2.125,Inch,B.28.03...,BR,Planner 12,TOL
010200406AW,"BAR,ROUND ~ 2 IN",8.5,Inch,B.14.04...,BR,Planner 11,TOL
0102004075W,"BAR,ROUND ~ 2 IN",4.875,Inch,B.28.02...,BR,Planner 4,TOL
0102004118W,"BAR,ROUND ~ 2",12,Inch,B.23.02...,BR,Planner 4,TOL
010200X079W,"BAR,ROUND ~ 2 IN DIA",5.625,Inch,B.28.03...,BR,Planner 10,TOL
0102013444W,"BAR,ROUND ~ 2-1/64 IN",60,Inch,B.02.02...,BR,Planner 10,TOL
0102023444W,"BAR,ROUND ~ 2 1/32 IN",472,Inch,B.01.02...,BR,Planner 10,TOL
0102082409W,"BAR,ROUND ~ 2 1/8 IN",45.125,Inch,B.13.04...,BR,Planner 10,TOL
0102082449W,"BAR,ROUND ~ 2 1/8 IN",46.875,Inch,B.07.05...,BR,Planner 4,TOL
0102083513W,"BAR,ROUND ~ 2 1/8 IN",270.125,Inch,B.07.07...,BR,Planner 12,TOL
0102083514W,"BAR,ROUND ~ 2 1/8",190.75,Inch,B.05.04...,BR,Planner 12,TOL
