Item Number,Item_Description,Qty,UOM,Locator,Subinventory,Planner,Organization_Code
051954223LA,"TUBING,FORGED ~ 7 3/4 OD x 5 3/4 ID X 6 5/8 THK",3,Each,R.28.03...,CS,Planner 10,TOL
0520492201A,"TUBING,CENTRFGL CSTG ~ 10 1/2 OD X 6 3/4 ID X 3 1/2",9,Each,R.26.04...,CS,Planner 10,TOL
052143X002A,"TUBING,FORGED ~ 12 OD X 6 3/4 ID X 1",1,Each,F.13.05...,CS,Planner 10,TOL
0522393310A,"TUBING,CENT CSTG ~ 6 9/16 X 3 3/16 X 2 5/8",7,Each,R.07.01...,CS,Planner 3,TOL
0522523910A,"TUBING,CENT CSTG ~ 3 9/16X1 15/16X1 15/16 LG",2,Each,C.02.01...,CS,Planner 4,TOL
052298221UA,"TUBING,CENT CSTG ~ 5 X 2 9/16 X 2.25",11,Each,R.14.03...,CS,Planner 4,TOL
052324X001A,"TUBING,FORGED ~ 4 7/8 OD X 2 1/4 ID X 2 1/4",19,Each,C.05.01...,CS,Planner 4,TOL
0523413309A,"TUBING,CENT CSTG ~ 5 3/4 X 3 7/8 X 1 5/8",13,Each,R.26.03...,CS,Planner 4,TOL
0523423312A,"TUBING,CENT CSTG ~ 5 13/16 X 3 1/8 X 2 1/4",12,Each,R.10.03...,CS,Planner 4,TOL
0524312201A,"TUBING,CENT CSTG ~ 6 1/16 OD X 2 15/16 ID X 1 1/4",18,Each,R.01.03...,CS,Planner 10,TOL
052431222AA,"TUBING,CENT CSTG ~ 6 1/16 OD X 2 15/16 ID X 1 1/4",8,Each,R.11.03...,CS,Planner 10,TOL
0524323310A,"TUBING,CENT CSTG ~ 5 1/4 OD X 2 5/16 ID X 1 13/16",1,Each,R.23.02...,CS,Planner 3,TOL
052539396CA,"TUBING,FORGED ~ 6 13/16 OD X 5 1/8 ID X 4",1,Each,F.14.03...,CS,Planner 10,TOL
0526212910A,"TUBING,CENT CSTG ~ 5 OD x 1.5 ID x 1.5 L",1,Each,F.12.02...,CS,Planner 10,TOL
052624X001A,"TUBING, FORGED, 5 OD X 2 1/2 ID X 1 1/4",6,Each,C.07.01...,CS,Planner 10,TOL
05265433L9A,"TUBING,CENT CSTG ~ 5 3/8 OD X2 5/16 ID X1 5/8 LG",4,Each,R.26.03...,CS,Planner 3,TOL
052684346EA,"TUBING,FORGED ~ 22 3/8 OD X 20 ID X 4",3,Each,F.16.05...,CS,Planner 10,TOL
05284035JSA,"TUBING,FORGED ~ 26 X 20 X 5 5/8",2,Each,R.15.04...,CS,Planner 4,TOL
0530243318A,"TUBING,CENT CSTG ~ 13 1/4 OD X 9 ID X 3 THK",11,Each,R.08.05...,CS,Planner 4,TOL
0530253309A,"TUBING,CENT CSTG ~ 15  OD X 11 ID  X 3 THIK",1,Each,R.18.01...,CS,Planner 10,TOL
0530373309A,"TUBING,CENT CSTG ~ 10.9375 X 7.3125 X 3",4,Each,F.17.01...,CS,Planner 4,TOL
053044X001A,"TUBING,FORGED ~ 13.060 OD X 7.810 ID X 2.250",43,Each,R.03.05...,CS,Planner 3,TOL
053075X001A,"TUBING,FORGED ~ 15.310 X 9.75 X 2.810",17,Each,R.10.03...,CS,Planner 3,TOL
0530883401A,"TUBING,FORGED ~ 14 1/2 OD X 11 ID X 4",2,Each,F.49.04...,CS,Planner 4,TOL
0531584X01A,"TUBING,CENT CSTG ~ 6.625 OD X 4.750 ID X 3.55",1,Each,C.05.01...,CS,Planner 10,TOL
0531872910A,"TUBING,CENT CSTG ~ 7 OD x 2D ID x 2 L",1,Each,C.02.02...,CS,Planner 10,TOL
0600142401A,SHEET COLD ROLLED ~ 48 X 96 X .0598 (16GA),145,Each,C.08.02...,CS,Planner 3,TOL
070054X001A,BAR FLAT ~ 5/8 X 2 3/4 X 2 3/4,3,Each,R.19.02...,CS,Planner 4,TOL
07006035BEA,"BAR,FLAT ~ 3/4 X1 3/4 X 3.990",2,Each,C.05.01...,CS,Planner 3,TOL
070077X005A,"FLAT, SQUARE ~ 3 X 1 1/4 THK",1,Each,C.01.02...,CS,Planner 4,TOL
0701082449A,"BAR,FLAT ~ 5/8 THK X 2 1/2 WIDE X 4 5/16",7,Each,R.26.02...,CS,Planner 10,TOL
070250361PA,"FLAT,ROUND ~ 5 9/16 OD X 1 1/2 THK",2,Each,R.18.03...,CS,Planner 4,TOL
075319X001A,"PLATE,RECTANGLE ~ 1 1/2 X 9 9/16 X 10 15/16",17,Each,F.47.03...,CS,Planner 10,TOL
075514259PA,"PLATE,ROUND ~ 29.58 OD X 20.13 ID X 2.00 THK",1,Each,F.49.03...,CS,Planner 4,TOL
075518259PA,"PLATE,ROUND ~ 17 1/8 OD X 10 ID X 1 1/2 THK",8,Each,F.47.04...,CS,Planner 4,TOL
075520259PA,"PLATE,ROUND ~ 20 7/8ODX12 3/4IDX1 1/2THK",5,Each,F.46.04...,CS,Planner 4,TOL
075522259PA,"PLATE,ROUND ~ 6 1/2 OD X 1 THK",1,Each,F.46.04...,CS,Planner 10,TOL
075524259PA,"PLATE,ROUND ~ 7 1/2 OD X 2 3/4 ID X 1 THK",1,Each,F.49.03...,CS,Planner 10,TOL
0755294104A,SEAL PROTECTOR BLANK ~ 9.000 OD X 5.100 ID X 1.250 L,7,Each,F.47.03...,CS,Planner 4,TOL
0755332532A,PLATE ROUND ~ 10 OD X 1.750 THK,2,Each,R.28.03...,CS,Planner 4,TOL
0W08562503A,"FLANGE,PACKING ~ 1 1/4 STEM",10,Each,C.03.02...,CS,Planner 10,TOL
0Y08811901A,HEAD 249 CSTG  ~  S1-S2 1 1/2-2 CL125,15,Each,R.25.01...,CS,Planner 10,TOL
0Y08841902A,HEAD 249 CSTG ~ S1-S2 1 1/2-2 CL250,1,Each,R.26.03...,CS,Planner 10,TOL
11A2241X01A,SEAT RING CSTG ~ 3,1,Each,R.25.02...,CS,Planner 4,TOL
11A8079X0AA,SEAT RING CSTG ~ 1 1/2X1,41,Each,C.02.02...,CS,Planner 4,TOL
11B4235X18A,CAGE ADAPTOR CSTG  ~  3X2,1,Each,C.02.01...,CS,Planner 10,TOL
12A9449X01A,"BAR,ROUND ~ 4.25 DIA X 2.031 LENGH",23,Each,C.06.02...,CS,Planner 10,TOL
12B8740X012,"PLATE,SUPPORT ~ 10",11,Each,R.23.02...,CS,Planner 3,TOL
12B8741X012,"PLATE,SUPPORT ~ 12",26,Each,R.21.02...,CS,Planner 3,TOL
14A7822X0AA,SEAL SUPPORT CYL ~ SIZE 80 & 100,26,Each,F.14.02...,CS,Planner 12,TOL
14B8643X01A,"PLATE,MTG,HJ CSTG ~ SIZE 30-40",73,Each,C.09.01...,CS,Planner 10,TOL
14B8645X01A,"PLATE,MTG,HJ CSTG ~ SIZE 50-60",40,Each,R.10.03...,CS,Planner 10,TOL
16B5966X21A,SEAL PROTECTOR RING ~ 16 CL150,1,Each,F.45.04...,CS,Planner 3,TOL
17A0300X01A,"BUSHING CSTG,GUIDE ~ 7/8 X 1 1/8 X 9/16",50,Each,R.03.01...,CS,Planner 10,TOL
17B1386X03A,SEAL BLANK FORGING  ~  8 V260,1,Each,R.22.04...,CS,Planner 10,TOL
17B1387X01A,SEAL BLANK FORGING  ~  10 V260,1,Each,R.09.04...,CS,Planner 3,TOL
18A1243X02A,"BAR,FLAT ~ 1/2 X 1 1/2 X 1.460",4,Each,C.03.03...,CS,Planner 3,TOL
18A1243X03A,"BAR,FLAT ~ 1/2 X 1 1/2 X 1.460",1888,Each,F.46.03...,CS,Planner 3,TOL
18A1668X03A,"BAR,FLAT ~ 9/16 X 1 1/2 X 1.700",602,Each,F.44.02...,CS,Planner 3,TOL
18A1671X03A,"BAR,FLAT ~ 3/4 X1 3/4 X 2.220",10,Each,C.02.02...,CS,Planner 3,TOL
18A1671X04A,"BAR,FLAT ~ 3/4 X1 3/4 X 2.220",2414,Each,F.47.03...,CS,Planner 3,TOL
18A1675X01A,"BAR,FLAT ~ 1 X 2 1/8 X 5.00",180,Each,F.46.03...,CS,Planner 3,TOL
18A1675X02A,"BAR,FLAT ~ 1 X 2 1/8 X 5.00",2,Each,C.01.01...,CS,Planner 3,TOL
18A1678X0AA,"BAR,FLAT ~ 1 1/8 X 2 3/4 X 5.063",8,Each,F.44.03...,CS,Planner 3,TOL
18A1691X0AA,"BAR,FLAT ~ 1 1/8 X 2 3/4 X 6.125",214,Each,F.49.03...,CS,Planner 3,TOL
18B2946X01A,"BEARING CSTG ~ 3&4,3/4 SHAFT,VLINE (B SERIES)",8,Each,F.12.01...,CS,Planner 10,TOL
19A5177X01A,BEARING CSTG ~ 1/2X3/4X13/16,42,Each,R.23.03...,CS,Planner 10,TOL
19A5180X01A,BEARING CSTG ~ 5/8X7/8X27/32,122,Each,F.42.02...,CS,Planner 10,TOL
19A5183X01A,BEARING CSTG ~ 1X1 1/4X1 7/32,101,Each,C.02.02...,CS,Planner 4,TOL
19A5186X01A,BEARING CSTG ~ 1 1/4X1 1/2X1 19/32,140,Each,C.04.02...,CS,Planner 10,TOL
19A5189X01A,BEARING CSTG ~ 1 1/2X1 7/8X1 17/32,76,Each,R.26.02...,CS,Planner 10,TOL
19A5192X01A,BEARING CSTG ~ 1 12/X1 7/8X2 1/32,18,Each,R.26.03...,CS,Planner 10,TOL
19A7408X04A,SEAT RING FORGING  ~  7 PORT,1,Each,R.15.03...,CS,Planner 4,TOL
1B12038M429,"BLANK,FORGE ~ 3 OD X 2 1/2 THK",5,Each,C.01.01...,CS,Planner 12,TOL
1B5498X001A,"PLUG TIP,M-FLUTE,1F ~ 1/4 PORT",34,Each,R.03.01...,CS,Planner 12,TOL
1B5499X001A,"PLUG TIP,M-FLUTE,2F ~ 1/4 PORT",3,Each,R.03.01...,CS,Planner 12,TOL
1B5500X001A,"PLUG TIP,M-FLUTE,3F ~ 1/4 PORT",36,Each,R.03.01...,CS,Planner 12,TOL
1B5500X008A,"PLUG TIP,M-FLUTE,3F ~ 1/4 PORT,CMTR",1,Each,R.03.01...,CS,Planner 12,TOL
1B5502X001A,"PLUG TIP,M-FLUTE,3F ~ 1/2 PORT",1,Each,R.03.01...,CS,Planner 12,TOL
1C79012302A,"FLANGE,CAGE,FORGING",76,Each,R.08.05...,CS,Planner 10,TOL
1E51252302A,END PIECE FORGING ~ 259B,137,Each,R.22.05...,CS,Planner 10,TOL
1E94373507A,"BAR,ROUND ~ 2 DIA X 0.375",310,Each,F.44.03...,CS,Planner 4,TOL
1E94422301A,"FLANGE,PACKING ~ 1/2 STEM",196,Each,R.13.03...,CS,Planner 4,TOL
1E94482301A,"FLANGE,PACKING ~ 3/4 STEM",68,Each,R.17.03...,CS,Planner 10,TOL
1F11631904A,HANDJACK BODY ~ SIZE 30-34-40,26,Each,R.17.03...,CS,Planner 10,TOL
1F54861405A,"BAR,ROUND ~ 1.312 DIA X 12",109,Each,R.03.04...,CS,Planner 4,TOL
1F72461904A,DIAPHRAGM HEAD ~ SIZE 3A & 4A,19,Each,R.14.03...,CS,Planner 10,TOL
1F72551904A,DIAPHRAGM HEAD ~ SIZE 3B & 4B,13,Each,R.14.03...,CS,Planner 10,TOL
1F93861904A,"DIAPH HEAD,LOWER  ~  NO.1",2,Each,F.12.01...,CS,Planner 10,TOL
1H1813X004A,RETAINING FLG BLANK,11,Each,R.10.01...,CS,Planner 10,TOL
1H1813X007A,RETAINING FLG BLANK,265,Each,R.25.01...,CS,Planner 10,TOL
1H1813X008A,RETAINING FLG BLANK,1,Each,C.03.03...,CS,Planner 10,TOL
1H1813X026A,RETAINING FLG BLANK,2,Each,C.01.01...,CS,Planner 10,TOL
1H4113X001A,"PLUG TIP,M-FLOW ~ 3/16 PORT",39,Each,R.03.01...,CS,Planner 12,TOL
1H4113X007A,"PLUG TIP,M-FLOW ~ 3/16 PORT",1,Each,C.03.03...,CS,Planner 12,TOL
1H86320706A,PISTON ~ SIZE 30,9,Each,F.14.01...,CS,Planner 10,TOL
1N4549X001A,PLUG TIP CSTG ~ 1/4 PORT,34,Each,R.03.01...,CS,Planner 12,TOL
1N57611201A,PISTON ~ 3/8 IN STEM,32,Each,R.23.01...,CS,Planner 4,TOL
1N88931904A,BEARING RET FLANGE ~ SIZE 70 & 87 SIDE MTD HANDJACK,62,Each,R.05.02...,CS,Planner 10,TOL
20A0717X01A,"FLANGE,BOTTOM ~ 1 IN",3,Each,R.23.01...,CS,Planner 10,TOL
20A3314X05A,"PLUG,BAL,CSTG  ~  1 5/16 PORT",13,Each,C.07.01...,CS,Planner 12,TOL
20A3368X02A,"PLUG,BAL,CSTG  ~  2 5/16 PORT",3,Each,R.12.02...,CS,Planner 12,TOL
20A3368X05A,"PLUG,BAL,CSTG  ~  2 5/16 PORT",9,Each,R.22.04...,CS,Planner 12,TOL
20B1506X01A,"SPRING SEAT,CSTG",241,Each,R.24.01...,CS,Planner 10,TOL
20B1508X01A,SPRING ADJ CSTG,2,Each,R.12.01...,CS,Planner 10,TOL
20B1689X02A,SEAT RING CSTG ~ 1 RESTRICTED PORT,6,Each,C.03.03...,CS,Planner 4,TOL
20B1691X02A,SEAT RING CSTG ~ 1 1/2 RESTRICTED PORT,8,Each,R.21.01...,CS,Planner 4,TOL
20B1693X02A,"SEAT RING CSTG ~ 2,RESTRICTED PORT",1,Each,C.09.02...,CS,Planner 4,TOL
20B1695X02A,SEAT RING CSTG ~ 3 RESTRICTED PORT,4,Each,C.01.03...,CS,Planner 4,TOL
21A9794X02A,SEAT RING BLANK ~ 9 OD X 5 ID X 2 9/16,10,Each,R.18.03...,CS,Planner 4,TOL
21B0700X10A,SEAL PROTECTOR CSTG ~ 4-150 (DN100 PN10-16) 9.00 F-F,66,Each,R.13.02...,CS,Planner 3,TOL
21B0703X01A,SEAL PROT RING FORG ~ 3-150(DN80 PN10-40)6.50 F-F,228,Each,R.11.01...,CS,Planner 3,TOL
21B0703X23A,SEAL PROT RING FORG ~ 3-150(DN80 PN10-40)6.50 F-F,207,Each,R.06.01...,CS,Planner 3,TOL
22A9328X0AA,PISTON ~ SIZE 40,54,Each,F.13.02...,CS,Planner 4,TOL
22A9453X0AA,"PISTON CSTG ~ 60,TYEP 1061",37,Each,F.13.02...,CS,Planner 10,TOL
22A9454X0AA,"PISTON CSTG ~ 30,TYPE 1061",85,Each,F.14.02...,CS,Planner 10,TOL
23A2419X02A,"CAGE,QO,CSTG ~ 1,INVESTMENT CAST",16,Each,R.04.01...,CS,Planner 3,TOL
23B0340X01A,HD SEAL CSTG ~ 1 V200,144,Each,R.04.01...,CS,Planner 11,TOL
23B0340X02A,HD SEAL CSTG ~ 1 V200,60,Each,R.08.02...,CS,Planner 11,TOL
24B1785X01A,SHEET ~ DIA 9.120X0.620 THICK,600,Each,R.31.04...,CS,Planner 3,TOL
24B7809X01A,RETAINER CSTG ~ 1,29,Each,R.04.01...,CS,Planner 4,TOL
24B7872X01A,RETAINER CSTG ~ 4,1,Each,C.02.01...,CS,Planner 4,TOL
25A4560X0AA,DIAPHRAGM HEAD ~ SIZE 60,1,Each,R.16.02...,CS,Planner 10,TOL
25A6682E14A,SEAT RING RET CSTG ~ 1,2,Each,C.03.04...,CS,Planner 3,TOL
25A6682F10A,SEAT RING RET CSTG ~ 1,1,Each,C.07.02...,CS,Planner 3,TOL
25A6682X01A,SEAT RING RET CSTG ~ 1,2,Each,R.25.02...,CS,Planner 3,TOL
25A6682X0AA,SEAT RING RET CSTG ~ 1,3,Each,C.06.01...,CS,Planner 3,TOL
25A6682X0DA,SEAT RING RET CSTG ~ 1,539,Each,F.14.03...,CS,Planner 3,TOL
25A6682X11A,SEAT RING RET CSTG ~ 1,1004,Each,F.13.03...,CS,Planner 3,TOL
25A6684F29A,SEAT RING RET CSTG ~ 1 1/2,1,Each,F.12.01...,CS,Planner 3,TOL
25A6684X07A,SEAT RING RET CSTG ~ 1 1/2,433,Each,F.13.01...,CS,Planner 3,TOL
25A6684X0AA,SEAT RING RET CSTG ~ 1 1/2,4,Each,R.21.02...,CS,Planner 3,TOL
25A6684X0DA,SEAT RING RET CSTG ~ 1 1/2,104,Each,R.07.03...,CS,Planner 3,TOL
25A6684X0FA,SEAT RING RET CSTG  ~  1 1/2,1,Each,R.09.02...,CS,Planner 3,TOL
26A1372X01A,DIAPHRAGM HEAD CSTG ~ SIZE 33 & 43,15,Each,R.01.03...,CS,Planner 10,TOL
27A8475X01A,"BONNET FORGING ~ 1,2 1/8 YB",160,Each,R.21.05...,CS,Planner 9,TOL
27A8476X01A,"BONNET FORGING ~ 2,2 13/16 YB",113,Each,R.06.05...,CS,Planner 9,TOL
27A9705X01A,"SEAT RING CSTG ~ 1,1/4 PORT",114,Each,R.08.01...,CS,Planner 4,TOL
27B1302X01A,SHEET ~ 1.250 THICK X 7.125X9.187,2,Each,F.48.04...,CS,Planner 10,TOL
28A1851X01A,"SEAT RING CSTG ~ 1,3/8 PORT",49,Each,F.10.02...,CS,Planner 4,TOL
28A1853X01A,"SEAT RING CSTG ~ 1,1/2 PORT",116,Each,F.10.01...,CS,Planner 4,TOL
28A1854X01A,"SEAT RING CSTG ~ 1,3/4 PORT",148,Each,C.09.02...,CS,Planner 4,TOL
28A2478X01A,BEARING SEAT CSTG ~ SIZE 60,69,Each,R.16.03...,CS,Planner 10,TOL
28A2481X01A,BEARING SEAT CSTG ~ 40,61,Each,R.12.03...,CS,Planner 10,TOL
28A3344X01A,"SEAT RING CSTG ~ 2,1/2 PORT",75,Each,F.10.01...,CS,Planner 4,TOL
28A3345X01A,"SEAT RING CSTG ~ 2,3/4 PORT",39,Each,C.09.01...,CS,Planner 4,TOL
28A3346X01A,"SEAT RING CSTG ~ 2,1 PORT",28,Each,F.10.02...,CS,Planner 4,TOL
28A3347X01A,"SEAT RING CSTG ~ 2,1 1/4 PORT",82,Each,C.08.01...,CS,Planner 4,TOL
28B2431X01A,"CAP,CYLINDER,CASTING ~ 1/2-6",12,Each,C.06.02...,CS,Planner 10,TOL
28B2432X01A,"CASING,LOWER,CASTING ~ SIZE 3B & 4B",12,Each,R.24.04...,CS,Planner 10,TOL
28B2948X01A,"BEARING CSTG ~ 8&10,1 1/4SHAFT,VLINE B SERIES",2,Each,R.21.01...,CS,Planner 10,TOL
28B3088X01A,"SLEEVE,HD SEAL CSTG ~ 3,V150B,V200B,V300B",224,Each,F.45.02...,CS,Planner 11,TOL
28B3088X02A,"SLEEVE,HD SEAL CSTG ~ 3,V150B,V200B,V300B",12,Each,R.15.02...,CS,Planner 11,TOL
28B3088X03A,"SLEEVE,HD SEAL CSTG ~ 3,V150B,V200B,V300B",27,Each,R.26.01...,CS,Planner 11,TOL
28B3089X01A,"SLEEVE,HD SEAL CSTG ~ 4,V150B,V200B,V300B",68,Each,F.44.03...,CS,Planner 11,TOL
28B3089X02A,"SLEEVE,HD SEAL CSTG ~ 4,V150B,V200B,V300B",23,Each,C.02.04...,CS,Planner 11,TOL
28B3090X01A,"SLEEVE,HD SEAL CSTG ~ 6,V150B,V200B,V300B",5,Each,R.14.01...,CS,Planner 11,TOL
28B3090X02A,"SLEEVE,HD SEAL CSTG ~ 6,V150B,V200B,V300B",3,Each,F.42.03...,CS,Planner 11,TOL
28B5363X06A,"YOKE LOCKNUT FORGING ~ 3/8 STEM, 2 1/8 YOKE BOSS",1630,Each,R.27.04...,CS,Planner 10,TOL
28B5364X06A,"YOKE LOCKNUT FORGING ~ 1/2 STEM, 2 13/16 YOKE BOSS",2095,Each,R.32.03...,CS,Planner 10,TOL
28B5365X06A,"YOKE LOCKNUT FORGING ~ 3/4 STEM, 3 9/16 YOKE BOSS",480,Each,R.32.04...,CS,Planner 10,TOL
28B6217X01A,HANDWHEEL CAP CSTG ~ SIZE 80 SIDE MOUNTED HANDJACK,9,Each,R.13.03...,CS,Planner 10,TOL
29A3666X0AA,"SEAT RING CSTG ~ 4,FULL PORT",12,Each,C.01.01...,CS,Planner 4,TOL
29A3666X0BA,"SEAT RING CSTG ~ 4,FULL PORT",162,Each,R.03.01...,CS,Planner 4,TOL
29A3672X03A,"RETAINER CSTG ~ 4,FULL PORT",48,Each,R.15.02...,CS,Planner 10,TOL
29A3672X0AA,"RETAINER CSTG ~ 4,FULL PORT",39,Each,F.43.03...,CS,Planner 10,TOL
29A3672X0BA,"RETAINER CSTG ~ 4,FULL PORT",32,Each,C.03.02...,CS,Planner 10,TOL
29A3674X0AA,"RETAINER CSTG ~ 4,60% RESTRICTED",3,Each,R.25.02...,CS,Planner 10,TOL
29A3702X05A,"SEAT RING CSTG  ~  3,FULL PORT",1,Each,C.01.01...,CS,Planner 4,TOL
29A3702X0AA,"SEAT RING CSTG ~ 3,FULL PORT",40,Each,R.16.01...,CS,Planner 4,TOL
29A3702X0BA,"SEAT RING CSTG ~ 3,FULL PORT",114,Each,F.42.03...,CS,Planner 4,TOL
29A3734X0AA,"SEAT RING CSTG ~ 2,FULL PORT",58,Each,C.01.03...,CS,Planner 4,TOL
29A3734X0BA,"SEAT RING CSTG ~ 2,FULL PORT",55,Each,R.04.01...,CS,Planner 4,TOL
29A3740X02A,RETAINER CSTG ~ 2 FULL PORT,14,Each,C.01.03...,CS,Planner 10,TOL
29A3740X0AA,"RETAINER CSTG ~ 2,FULL PORT",8,Each,R.19.02...,CS,Planner 10,TOL
29A3740X0BA,"RETAINER CSTG ~ 2,FULL PORT",83,Each,C.03.01...,CS,Planner 10,TOL
29A3742X0BA,"RETAINER CSTG ~ 2,60% RESTRICTED",5,Each,R.10.01...,CS,Planner 10,TOL
29A4229X03A,"SEAT RING CSTG ~ 6,FULL PORT",26,Each,F.43.02...,CS,Planner 4,TOL
29A4229X0AA,"SEAT RING CSTG ~ 6,FULL PORT",20,Each,F.42.03...,CS,Planner 4,TOL
29A4235X02A,"RETAINER CSTG ~ 6,FULL PORT",2,Each,F.43.03...,CS,Planner 10,TOL
29A4235X0AA,"RETAINER CSTG ~ 6,FULL PORT",26,Each,R.14.01...,CS,Planner 10,TOL
29A4235X0BA,"RETAINER CSTG ~ 6,FULL PORT",19,Each,R.22.02...,CS,Planner 10,TOL
29A4237X01A,"RETAINER CSTG ~ 6,60% RESTRICTED",1,Each,F.42.03...,CS,Planner 10,TOL
29A5141X0BA,SEAT RING CSTG ~ 1 1/2 FULL PORT,50,Each,C.03.01...,CS,Planner 4,TOL
29A5164X0AA,"SEAT RING CSTG ~ 1,FULL PORT",9,Each,R.16.01...,CS,Planner 4,TOL
29A5164X0BA,"SEAT RING CSTG ~ 1,FULL PORT",12,Each,F.14.03...,CS,Planner 4,TOL
29A5168X0AA,"RETAINER CSTG ~ 1,FULL PORT",6,Each,C.09.02...,CS,Planner 10,TOL
29A5172X0AA,RETAINER CSTG ~ 1 1/2 FULL PORT,4,Each,R.15.01...,CS,Planner 10,TOL
29A6081X07A,SEAL PROTECTOR BLANK  ~  8 CL600&900,1,Each,F.49.03...,CS,Planner 3,TOL
29A6824X03A,SEAL PROTECTOR BLANK  ~  6 CL600&900,6,Each,F.48.03...,CS,Planner 3,TOL
2E42402302A,"FLANGE,REDUCER",12,Each,R.05.02...,CS,Planner 10,TOL
2E88041904A,DIAPHRAGM HEAD ~ SIZE 30,4,Each,R.06.03...,CS,Planner 10,TOL
2F11671901A,HANDJACK BODY ~ SIZE 30-34-40,108,Each,R.02.04...,CS,Planner 10,TOL
2F11721904A,HANDJACK BODY ~ SIZE 45-50-60 & P-2,31,Each,R.25.05...,CS,Planner 10,TOL
2F12531901A,HANDJACK BODY ~ SIZE 45-50-60,28,Each,R.09.04...,CS,Planner 10,TOL
2F1405X007A,BONNET BLANK ~ 3 13/16X7 1/4,1,Each,R.28.03...,CS,Planner 9,TOL
2H37592201A,"DIAPH CASING,UPPER ~ SIZE 3A & 4A",1,Each,R.12.03...,CS,Planner 10,TOL
2H37831901A,HANDJACK BODY ~ SIZE 3A & 4A TOP MTD HANDJACK,23,Each,R.27.03...,CS,Planner 10,TOL
2H86570706A,PISTON ~ SIZE 60,137,Each,F.15.01...,CS,Planner 10,TOL
2H86710706A,PISTON ~ SIZE 40,6,Each,F.14.02...,CS,Planner 10,TOL
2H88840706A,"COVER,CYLINDER",26,Each,C.07.01...,CS,Planner 12,TOL
2H93720706A,"FLANGE,CYLINDER ~ SIZE 30",11,Each,F.14.01...,CS,Planner 12,TOL
2J89691917A,"FLANGE,CYLINDER ~ SIZE 100",9,Each,R.05.03...,CS,Planner 10,TOL
2L70642302A,"FLANGE,ARM,FORGING ~ CL600",2,Each,R.07.02...,CS,Planner 10,TOL
2L70652302A,"FLANGE,SIDE,FORGING ~ 1 1/2 CL150-300 & 2 CL150",24,Each,R.01.02...,CS,Planner 10,TOL
2L70662302A,"BOSS,SIDE CONN FORG ~ 249B",86,Each,R.22.05...,CS,Planner 10,TOL
2L70842302A,"FLANGE,SIDE,FORGING ~ 1 1/2 CL600 & 2 CL150-600",168,Each,R.07.04...,CS,Planner 10,TOL
2R2808F214A,"BONNET CSTG ~ 1,2 1/8 YB",1,Each,R.28.03...,CS,Planner 3,TOL
2R2808X002A,"BONNET CSTG ~ 1,2 1/8 YB",1,Each,R.15.02...,CS,Planner 9,TOL
2R2808X00RA,"BONNET CSTG ~ 1,2 1/8 YB",6,Each,C.09.01...,CS,Planner 3,TOL
2R2808X119A,"BONNET CSTG ~ 1,2 1/8 YB",43,Each,R.25.03...,CS,Planner 3,TOL
2R2809X001A,"BONNET CSTG ~ 1,2 13/16 YB",3,Each,R.14.02...,CS,Planner 3,TOL
2R2809X00AA,"BONNET CSTG ~ 1,2 13/16 YB",3,Each,R.10.02...,CS,Planner 3,TOL
2R2809X050A,"BONNET CASTING ~ 1,2 13/16 YB",22,Each,F.12.02...,CS,Planner 3,TOL
2R3102X001A,"BONNET CSTG ~ 1 1/2,2 1/8 YB",2,Each,R.21.03...,CS,Planner 3,TOL
2R3102X00CA,"BONNET CSTG ~ 1 1/2,2 1/8 YB",1,Each,R.23.03...,CS,Planner 3,TOL
2R3102X00MA,"BONNET CSTG ~ 1 1/2,2 1/8 YB",1,Each,R.14.02...,CS,Planner 3,TOL
2R31033309A,"BONNET CSTG ~ 1 1/2,2 13/16 YB",6,Each,R.24.04...,CS,Planner 3,TOL
2R3103X052A,"BONNET CASTING ~ 1 1/2,2 13/16 YB",16,Each,C.07.02...,CS,Planner 3,TOL
2R31101902A,"BONNET CSTG ~ 1 1/2,2 1/8 YB",10,Each,R.07.03...,CS,Planner 9,TOL
2R33002902A,"BONNET CSTG ~ 2,2 13/16 YB",1,Each,R.03.02...,CS,Planner 9,TOL
2R33002904A,"BONNET CSTG ~ 2,2 13/16 YB",1,Each,R.08.01...,CS,Planner 9,TOL
2R33003309A,"BONNET CSTG ~ 2,2 13/16 YB",1,Each,R.26.03...,CS,Planner 3,TOL
2R3300X001A,"BONNET CSTG ~ 2,2 13/16 YB",13,Each,R.06.02...,CS,Planner 3,TOL
2R3300X195A,"BONNET CSTG ~ 2,2 13/16 YB",8,Each,R.23.03...,CS,Planner 3,TOL
2R3300XC24A,"BONNET CSTG ~ 2,2 13/16 YB",1,Each,C.03.04...,CS,Planner 3,TOL
2R33022302A,"BONNET FORGING ~ 2,2 13/16 YB",543,Each,F.42.04...,CS,Planner 9,TOL
2R3302X00AA,"BONNET FORGING ~ 2,2 13/16 YB",99,Each,R.03.03...,CS,Planner 9,TOL
2R34852902A,"BONNET CSTG ~ 3,2 13/16 YB",1,Each,R.06.02...,CS,Planner 3,TOL
2R3485A001A,BONNET CSTG ~ 3 2 13/16 YB,16,Each,R.24.02...,CS,Planner 3,TOL
2R3485X002A,"BONNET CSTG ~ 3,2 13/16 YB",2,Each,R.16.02...,CS,Planner 3,TOL
2R3485X00EA,"BONNET CSTG ~ 3,2 13/16 YB",10,Each,R.08.02...,CS,Planner 3,TOL
